Refid,Author,Title,Journal,RelevanceRating,NewsworthinessRating,PMID,Type of Study,Speciality Bucket -> General dentistry,Speciality Bucket -> Pedodontics,Speciality Bucket -> Conservative Dentistry and Endodontics,Speciality Bucket -> Oral and Maxillofacial Surgery,Speciality Bucket -> Dental Public Health,Speciality Bucket -> Oral Medicine,Speciality Bucket -> Orthodontics,Speciality Bucket -> Prosthodontics,Speciality Bucket -> Periodontics,Should this reference be included in the next stage
1,"Shivalingesh Krishnappa Kamate, Swati Sharma, Sahil Thakar, Divya Srivastava, Kaushikee Sengupta, Ahmed Jhurry Hadi, Alankrita Chaudhary, Ruby Joshi, Kuldeep Dhanker","Assessing Knowledge, Attitudes and Practices of dental practitioners regarding the COVID-19 pandemic: A multinational study",Dental and Medical Problems,3,2,32307930,Narrative review,General dentistry,,,,,,,,,Yes
2,"Zohaib Khurshid, Faris Yahya Ibrahim Asiri and Hamed Al Wadaani",Human Saliva: Non-Invasive Fluid for Detecting Novel Coronavirus (2019-nCoV),International Journal of Environmental Research and Public Health,4,2,32224986,Letter to editor,,Pedodontics,,,,,,,,Yes
3,"Jogikalmat Krithikadatta, Ruchika Roongta Nawal, Kurinji Amalavathy, William McLean, Velayutham Gopikrishna",Endodontic and Dental Practice during COVID-19 Pandemic: Position Statement from International Federation of Endodontic Associations (IFEA) & Indian Endodontic Society (IES,International Federation of Endodontic Associations (IFEA) & Indian Endodontic Society (IES),7,6,,Perspectives / Commentaries,,,Conservative Dentistry and Endodontics,,,,,,,Yes
4,"Inger Teixeira de Campos Tunas, Eduarda Teodoro da Silva, Susana Braga Santoro Santiago, Katlin Darlen Maia, Geraldo Oliveira Silva-Junior",Coronavirus disease 2019 (COVID-19): A preventive approach to Dentistry,Revista Brasileira de Odontologia,6,5,,Narrative Review,General dentistry,,,,,,,,,Yes
5,"Amber Ather, Biraj Patel, Nikita B. Ruparel, Anibal Diogenes, Kenneth M. Hargreaves",Coronavirus Disease 19 (COVID-19): Implications for Clinical Dental Care,Journal of Endodontics,6,6,32273156,Narrative Review,General dentistry,,Conservative Dentistry and Endodontics,,,,,,,Yes
6,"Rishi Kumar Bali, Kirti Chaudhry","Maxillofacial surgery and COVID-19, The Pandemic !!",Journal of Maxillofacial and Oral Surgery,6,4,32292253,Letter to editor,,,,Oral and Maxillofacial Surgery,,,,,,Yes
7,Leo Briggs,Dental  practice during a pandemic,British Dental Journal,5,5,,Feature,General dentistry,,,,,,,,,Yes
8,"Francesco Bennardo, Caterina Buffone, Amerigo Giudice",New therapeutic opportunities for COVID-19 patients with Tocilizumab: Possible correlation of interleukin-6 receptor inhibitors with osteonecrosis of the jaws,Oral Oncology,7,7,32209313,Letter to editor,General dentistry,,,Oral and Maxillofacial Surgery,,,,,,Yes
9,"Dr Sanjeev Bhanderi, Dr Maria Lessani, Dr Alyn Morgan, Dr Phil Tomson , Dr Will McLean",British Endodontic Society Information and Advice on Triage and Management for Primary Dental Care and other healthcare providers during the COVID-19  Pandemic.,British Endodontic Society,7,4,,Document,,,Conservative Dentistry and Endodontics,,,,,,,Yes
10,"Mallineni SK, Innes NP, Raggio DP, Araujo MP, Robertson MD, Jayaraman J",Coronavirus disease (COVID-19): Characteristics in children and considerations for dentists providing their care,International Journal of Paediatric Dentistry,6,4,32250505,Perspectives / Commentaries,General dentistry,Pedodontics,,,,,,,,Yes
